SCHOOL_YR,CPETALLC,CPETBLAC,CPETHISC,CPETWHIC
1999,3945367,567998,1523769,1741690
2000,3991783,576083,1578967,1721969
2001,4059619,585609,1646508,1706989
2002,4146653,595543,1728059,1694297
2003,4239911,606141,1811882,1686534
2004,4311502,614714,1886319,1669842
2005,4383871,621999,1961549,1653008
2006,4505572,664242,2040449,1644308
2007,4576933,660785,2118867,1631680
2008,4651516,663705,2193345,1619426
2009,4728204,669371,2264367,1608515
2010,4824778,676523,2342680,1607212
2011,4912385,635400,2468574,1531757
2012,4978120,637934,2530789,1520320
2013,5058939,644357,2597524,1515859
2014,5135880,650919,2660463,1511700
2015,5215282,659074,2714266,1509555
2016,5284252,666933,2760302,1507225
2017,5343834,673291,2802180,1499559
2018,5385012,679472,2821189,1498643
